id,name,state_code,latitude,longitude
133423,Perumbavoor,Kerala,10.10695,76.47366
133424,Perumpavur,Kerala,10.11544,76.47611
133425,Perundurai,Tamil Nadu,11.27564,77.58794
133426,Perungudi,Tamil Nadu,12.96095,80.24094
133427,Perya,Kerala,11.83334,75.85408
133428,Perur,Tamil Nadu,10.97519,76.91292
133429,Petlad,Gujarat,22.47681,72.79995
133430,Petlawad,Madhya Pradesh,23.01102,74.79772
133431,Phagwara,Punjab,31.22452,75.77387
133432,Phalauda,Uttar Pradesh,29.18824,77.82996
133433,Phalodi,Rajasthan,27.13102,72.36826
133434,Phaltan,Maharashtra,17.99113,74.43177
133435,Phaphund,Uttar Pradesh,26.59888,79.46437
133436,Phariha,Uttar Pradesh,27.32166,78.47267
133438,Phek,Nagaland,25.75,94.5
133439,Phillaur,Punjab,31.01887,75.79111
133440,Phirangipuram,Andhra Pradesh,16.29078,80.26233
133441,Phulbani,Odisha,20.48101,84.23063
133442,Phulera,Rajasthan,26.87401,75.24171
133443,Phulpur,Uttar Pradesh,25.54895,82.0895
133445,Pihani,Uttar Pradesh,27.61987,80.20343
133446,Pilibangan,Rajasthan,29.44964,74.10093
133447,Pilkhua,Uttar Pradesh,28.71271,77.656
133448,Pilani,Rajasthan,28.36725,75.60352
133449,Pimpri,Maharashtra,18.62292,73.80696
133450,Pindwara,Rajasthan,24.79749,73.05505
133451,Pinjaur,Haryana,30.79873,76.91822
133452,Pinahat,Uttar Pradesh,26.88487,78.37647
133453,Pipili,Odisha,20.11357,85.83147
133454,Piploda,Madhya Pradesh,23.35,75.43333
133455,Pippara,Andhra Pradesh,16.71667,81.55
133456,Pipraich,Uttar Pradesh,26.82745,83.52632
133457,Piravam,Kerala,9.86667,76.5
133458,Piriyapatna,Karnataka,12.33497,76.10073
133459,Piro,Bihar,25.33218,84.40454
133460,Pirawa,Rajasthan,24.15506,76.02728
133461,Pitampura,Delhi,28.68964,77.13126
133462,Pithampur,Madhya Pradesh,22.60197,75.69649
133463,Pithora,Chhattisgarh,21.25021,82.51707
133464,Pithoragarh,,30.0,80.25
133465,Pithapuram,Andhra Pradesh,17.1168,82.25284
133466,Pokaran,Rajasthan,26.92007,71.91631
133467,Polasara,Odisha,19.69386,84.81401
133468,Polavaram,Andhra Pradesh,17.24754,81.64372
133469,Pollachi,Tamil Nadu,10.65825,77.0085
133470,Polur,Tamil Nadu,12.51217,79.12405
133471,Ponda,Goa,15.40341,74.01519
133472,Ponmana,Kerala,9.00798,76.52023
133473,Ponnamaravati,Tamil Nadu,10.28032,78.53601
133474,Ponnampet,Karnataka,12.14473,75.94514
133475,Ponneri,Tamil Nadu,13.33868,80.19487
133476,Ponnur,Andhra Pradesh,16.07114,80.54944
133477,Ponnani,Kerala,10.76695,75.92523
133478,Ponnuru,Andhra Pradesh,16.06547,80.55203
133479,Poonamalle,Tamil Nadu,13.04888,80.11488
133480,Porbandar,Gujarat,21.64219,69.60929
133481,Porsa,Madhya Pradesh,26.67444,78.37081
133482,Port Blair,Andaman and Nicobar Islands,11.66613,92.74635
133483,Porur,Tamil Nadu,13.03565,80.15821
133484,Powai,Maharashtra,19.1164,72.90471
133485,Prakasam,Andhra Pradesh,15.5,79.5
133486,Pratapgarh,Rajasthan,24.03,74.78
133488,Pratapgarh,Uttar Pradesh,25.75,81.75
133489,Proddatur,Andhra Pradesh,14.7502,78.54813
133490,Puducherry,Puducherry,11.93381,79.82979
133491,Pudukkottai,Tamil Nadu,10.35,78.9
133492,Puduppatti,Tamil Nadu,11.15217,78.21205
133493,Puduvayal,Tamil Nadu,13.33015,80.14577
133494,Pudur,Tamil Nadu,12.99801,79.14352
133495,Pukhrayan,Uttar Pradesh,26.22375,79.83739
133496,Pulgaon,Maharashtra,20.72204,78.32056
133497,Pulivendla,Andhra Pradesh,14.42139,78.22502
133498,Puliyangudi,Tamil Nadu,9.17489,77.39799
133499,Puliyur,Tamil Nadu,10.63375,78.84139
133500,Pullambadi,Tamil Nadu,10.9411,78.91041
133501,Pulwama,Jammu and Kashmir,33.87405,74.89955
133502,Punalur,Kerala,9.01956,76.92261
133503,Punch,Jammu and Kashmir,33.70178,74.19916
133504,Pune,Maharashtra,18.51957,73.85535
133505,Pune Division,Maharashtra,18.74673,73.75465
133506,Punganuru,Andhra Pradesh,13.36672,78.57186
133507,Punjai Puliyampatti,Tamil Nadu,11.35163,77.16671
133508,Punasa,Madhya Pradesh,22.23507,76.39335
133509,Pupri,Bihar,26.47079,85.70311
133510,Purba Singhbhum,Jharkhand,22.59238,86.48341
133511,Puri,Odisha,19.9,85.6
133512,Purnia,Bihar,25.81614,87.40708
133513,Purushottampur,Odisha,19.52024,84.88514
133514,Purwa,Uttar Pradesh,26.45756,80.77403
133515,Pusad,Maharashtra,19.91274,77.57838
133516,Pushkar,Rajasthan,26.49022,74.55211
133517,Puttaparthi,Andhra Pradesh,14.1652,77.8117
133518,Puttur,Karnataka,12.75975,75.20169
133519,Puttur,Andhra Pradesh,13.44189,79.55314
133520,Pachora,Maharashtra,20.66727,75.35305
133521,Pakala,Andhra Pradesh,13.44903,79.11493
133522,Palakkodu,Tamil Nadu,12.30696,78.07022
133523,Palakollu,Andhra Pradesh,16.5167,81.73
133524,Palamedu,Tamil Nadu,10.10501,78.11336
133525,Palampur,Himachal Pradesh,32.11453,76.55681
133526,Palanpur,Gujarat,24.17128,72.43827
133527,Palghar,Maharashtra,19.69693,72.76543
133528,Palghat,Kerala,10.77319,76.65366
133529,Pali,Rajasthan,25.77276,73.32335
133530,Pali,Madhya Pradesh,23.36453,81.04374
133531,Pali,Uttar Pradesh,24.49188,78.41617
133532,Palitana,Gujarat,21.52519,71.82309
133533,Paliyad,Gujarat,22.25757,71.56024
133534,Palkonda,Andhra Pradesh,18.60374,83.75568
133535,Paloncha,Telangana,17.60184,80.70509
133536,Panch Mahals,Gujarat,22.75,73.6
133537,Panchgani,Maharashtra,17.92449,73.8008
133538,Pandhurna,Madhya Pradesh,21.59556,78.52628
133539,Pandoh,Himachal Pradesh,31.66902,77.05359
133540,Pandatarai,Chhattisgarh,22.18714,81.32815
133541,Pangala,Karnataka,13.25,74.75
133542,Pansemal,Madhya Pradesh,21.65981,74.69937
133544,Paonta Sahib,Himachal Pradesh,30.43666,77.62462
133545,Papireddippatti,Tamil Nadu,11.91774,78.36865
133546,Pappinissheri,Kerala,11.95655,75.34034
133547,Papparappatti,Tamil Nadu,12.22086,78.0592
133548,Pardi,Gujarat,20.5087,72.94569
133549,Parvatipuram,Andhra Pradesh,18.78392,83.42569
133550,Parichha,Uttar Pradesh,25.50789,78.75954
133551,Pasighat,Arunachal Pradesh,28.06631,95.32678
133552,Patan,Chhattisgarh,21.03333,81.53333
133554,Patan,Maharashtra,17.37513,73.90143
133555,Patan,Madhya Pradesh,23.28636,79.68962
133556,Pathardi,Maharashtra,19.17279,75.17425
133557,Pathardih,Jharkhand,23.6658,86.43166
133558,Pathri,Maharashtra,19.2588,76.43412
133559,Patur,Maharashtra,20.46093,76.93725
133560,Pavugada,Karnataka,14.09953,77.28018
133561,Pilibhit,Uttar Pradesh,28.63124,79.80436
133563,Pipalkoti,,30.42553,79.43066
133564,Pipri,Maharashtra,19.79371,75.53519
133565,Pipar,Rajasthan,26.38441,73.54394
133567,Pundri,Haryana,29.76096,76.56034
133568,Punahana,Haryana,27.86371,77.20432
133569,Puranpur,Uttar Pradesh,28.51283,80.14829
133570,Purba Champaran,Bihar,26.58333,84.83333
133571,Purna,Maharashtra,19.1817,77.02566
133572,Quepem,Goa,15.2128,74.0772
133573,Queula,Goa,15.39011,73.98557
133574,Quthbullapur,Telangana,17.50107,78.45818
133575,Qadian,Punjab,31.82198,75.37663
133576,Qazigund,Jammu and Kashmir,33.63828,75.14261
133577,Rabkavi,Karnataka,16.47567,75.1106
133578,Rabupura,Uttar Pradesh,28.25153,77.60253
133579,Radaur,Haryana,30.02706,77.15177
133580,Raebareli,Uttar Pradesh,26.2309,81.23315
133581,Rafiganj,Bihar,24.81757,84.63445
133582,Raghunathpur,Bihar,25.64492,87.91762
133583,Rahimatpur,Maharashtra,17.5921,74.19966
133584,Raha,Assam,26.23333,92.51667
133585,Raia,Goa,15.30499,73.97096
133586,Raichur,Karnataka,16.16,76.91
133587,Raigarh,Chhattisgarh,22.08582,83.30603
133588,Raigarh,Maharashtra,18.57,73.13
133589,Raipur,Rajasthan,26.04259,74.02373
133590,Raipur,Chhattisgarh,21.25621,81.69022
133591,Raisen,Madhya Pradesh,23.25,78.08333
133592,Rajanna Sircilla,Telangana,18.38629,78.8156
133593,Rajaori,Jammu and Kashmir,33.37526,74.3092
133594,Rajapalaiyam,Tamil Nadu,9.45296,77.55335
133595,Rajpur,Madhya Pradesh,22.30393,74.35568
133596,Rajsamand,Rajasthan,25.23822,73.93503
133597,Ramagundam,Telangana,18.755,79.474
133598,Ramanagara,Karnataka,12.65,77.35
133599,Ramanathapuram,Tamil Nadu,9.37158,78.83077
133600,Ramanayyapeta,Andhra Pradesh,16.94516,82.2385
133601,Ramban,Jammu and Kashmir,33.32301,75.1861
133602,Rambha,Odisha,19.51667,85.1
133603,Rameswaram,Tamil Nadu,9.2885,79.31271
133604,Ramgarh,Jharkhand,23.63073,85.56057
133605,Rampachodavaram,Andhra Pradesh,17.44088,81.77558
133606,Ranchi,Jharkhand,23.34316,85.3094
133607,Rangareddi,Telangana,17.27883,78.16844
133608,Rangia,Assam,26.44931,91.61356
133609,Rangpo,Sikkim,27.17733,88.53358
133610,Rangapara,Assam,26.83772,92.66876
133611,Rasipuram,Tamil Nadu,11.46009,78.18635
133612,Rasra,Uttar Pradesh,25.8576,83.85487
133613,Rasulabad,Uttar Pradesh,26.74491,80.49012
133614,Ratangarh,Rajasthan,28.08137,74.61854
133615,Ratangarh,Madhya Pradesh,24.81667,75.11667
133616,Ratanpur,Chhattisgarh,22.2866,82.16823
133617,Ratia,Haryana,29.69029,75.57688
133618,Ratlam,Madhya Pradesh,23.33033,75.04032
133619,Ratnagiri,Maharashtra,17.0,73.5
133620,Raurkela,Odisha,22.22496,84.86414
133621,Raxaul,Bihar,26.97982,84.85065
133622,Rayagada,Odisha,19.4,83.5
133623,Rehli,Madhya Pradesh,23.63722,79.06275
133624,Rehti,Madhya Pradesh,22.73781,77.43399
133625,Remuna,Odisha,21.52798,86.87156
133626,Rengali,Odisha,21.64602,84.05311
133627,Renigunta,Andhra Pradesh,13.65143,79.51256
133628,Renukut,Uttar Pradesh,24.21641,83.0358
133629,Reoti,Uttar Pradesh,25.85091,84.3778
133630,Repalle,Andhra Pradesh,16.0184,80.82958
133631,Revadanda,Maharashtra,18.55363,72.92559
133632,Revelganj,Bihar,25.78976,84.63596
133633,Rewa,Madhya Pradesh,24.53256,81.29234
133635,Rewari,Haryana,28.199,76.6183
133636,Ri-Bhoi,Meghalaya,25.88997,91.82707
133637,Richha,Uttar Pradesh,28.69467,79.52284
133638,Rishikesh,,30.10778,78.29255
133639,Risod,Maharashtra,19.97671,76.78799
133640,Riasi,Jammu and Kashmir,33.08115,74.83242
133641,Robertsganj,Uttar Pradesh,24.6886,83.06784
133642,Robertsonpet,Karnataka,12.95629,78.27539
133643,Roha,Gujarat,23.19646,69.27076
133644,Roha,Maharashtra,18.43687,73.11964
133645,Rohini,Delhi,28.74322,77.06778
133646,Rohru,Himachal Pradesh,31.20269,77.75484
133647,Rohtak,Haryana,28.83333,76.66667
133648,Rohtas,Bihar,24.97941,84.02774
133649,Ron,Karnataka,15.69935,75.73408
133650,Roorkee,,29.86632,77.89118
133652,Rudraprayag,,30.60872,79.06517
133654,Rupnagar,Punjab,31.04,76.52
133655,Rura,Uttar Pradesh,26.49001,79.90108
133656,Rusera,Bihar,25.75355,86.02597
133657,Radhanpur,Gujarat,23.83238,71.6047
133658,Radhakund,Uttar Pradesh,27.52432,77.49101
133660,Raghogarh,Madhya Pradesh,24.44318,77.19768
133661,Rahatgarh,Madhya Pradesh,23.78968,78.39473
133662,Rahon,Punjab,31.05275,76.11907
133663,Rahuri,Maharashtra,19.39069,74.64979
133665,Raikot,Punjab,30.65,75.6
133666,Raipur,,30.31097,78.08979
133667,Raisinghnagar,Rajasthan,29.53583,73.44917
133668,Raj Nandgaon,Chhattisgarh,21.16667,81.0
133670,Rajasansi,Punjab,31.72021,74.8008
133671,Rajahmundry,Andhra Pradesh,17.00517,81.77784
133672,Rajaldesar,Rajasthan,28.02849,74.47442
133673,Rajauri,Jammu and Kashmir,33.25,74.25
133674,Rajgarh,Rajasthan,27.23731,76.62243
133675,Rajgarh,Madhya Pradesh,22.67821,74.94483
133676,Rajgarh,Himachal Pradesh,30.85142,77.30066
133677,Rajgurunagar,Maharashtra,18.86667,73.9
133678,Rajgir,Bihar,25.02828,85.42079
133679,Rajkot,Gujarat,22.33333,70.83333
133680,Rajnagar,Madhya Pradesh,24.88929,79.91178
133681,Rajpura,Punjab,30.47856,76.59284
133682,Rajpipla,Gujarat,21.86667,73.5
133684,Rajula,Gujarat,21.03854,71.44345
133685,Rajur,Maharashtra,20.11087,78.89311
133686,Rajakhera,Rajasthan,26.89802,78.171
133687,Rajapur,Maharashtra,16.65679,73.51701
133688,Rajapur,Uttar Pradesh,25.38725,81.15125
133689,Rajura,Maharashtra,19.77947,79.36459
133690,Ram Das,Punjab,31.96739,74.9087
133691,Ramachandrapuram,Andhra Pradesh,16.83636,82.02871
133692,Ramamangalam,Kerala,9.93333,76.5
133695,Ramganj Mandi,Rajasthan,24.64648,75.94325
133696,Ramgarh,Rajasthan,27.25097,75.17893
133698,Ramgarh,Jammu and Kashmir,33.40379,74.22388
133699,Ramgundam,Telangana,18.80084,79.45206
133700,Ramkola,Uttar Pradesh,26.90172,83.83758
